aisle,count,department,id,name
fresh fruits,472565.0,produce,24852,Banana
fresh fruits,379450.0,produce,13176,Bag of Organic Bananas
fresh fruits,264683.0,produce,21137,Organic Strawberries
packaged vegetables fruits,241921.0,produce,21903,Organic Baby Spinach
fresh fruits,213584.0,produce,47209,Organic Hass Avocado
fresh fruits,176815.0,produce,47766,Organic Avocado
fresh fruits,152657.0,produce,47626,Large Lemon
fresh fruits,142951.0,produce,16797,Strawberries
fresh fruits,140627.0,produce,26209,Limes
milk,137905.0,dairy eggs,27845,Organic Whole Milk
packaged vegetables fruits,137057.0,produce,27966,Organic Raspberries
fresh vegetables,113426.0,produce,22935,Organic Yellow Onion
fresh vegetables,109778.0,produce,24964,Organic Garlic
fresh vegetables,104823.0,produce,45007,Organic Zucchini
packaged vegetables fruits,100060.0,produce,39275,Organic Blueberries
fresh vegetables,97315.0,produce,49683,Cucumber Kirby
fresh fruits,89632.0,produce,28204,Organic Fuji Apple
fresh fruits,87746.0,produce,5876,Organic Lemon
fresh fruits,85020.0,produce,8277,Apple Honeycrisp Organic
packaged vegetables fruits,84255.0,produce,40706,Organic Grape Tomatoes
packaged vegetables fruits,82689.0,produce,4920,Seedless Red Grapes
fresh vegetables,80392.0,produce,30391,Organic Cucumber
fresh fruits,79769.0,produce,45066,Honeycrisp Apple
packaged vegetables fruits,76896.0,produce,42265,Organic Baby Carrots
cream,76360.0,dairy eggs,49235,Organic Half & Half
