id;name;aisle;count;department;;name;count;;name;count;;name;count;;name;count
24852;Banana;fresh fruits;472565.0;produce;1;Banana;472565.0;2;Bag of Organic Bananas;379450.0;3;Organic Strawberries;264683.0;4;Organic Baby Spinach;241921.0
13176;Bag of Organic Bananas;fresh fruits;379450.0;produce;;Organic Strawberries;56156.0;;Organic Hass Avocado;62341.0;;Bag of Organic Bananas;61628.0;;Banana;51395.0
21137;Organic Strawberries;fresh fruits;264683.0;produce;;Organic Avocado;53395.0;;Organic Strawberries;61628.0;;Banana;56156.0;;Bag of Organic Bananas;50372.0
21903;Organic Baby Spinach;packaged vegetables fruits;241921.0;produce;;Organic Baby Spinach;51395.0;;Organic Baby Spinach;50372.0;;Organic Hass Avocado;40794.0;;Organic Strawberries;38134.0
47209;Organic Hass Avocado;fresh fruits;213584.0;produce;;Strawberries;41232.0;;Organic Raspberries;40503.0;;Organic Baby Spinach;38134.0;;Organic Hass Avocado;34901.0
47766;Organic Avocado;fresh fruits;176815.0;produce;;Large Lemon;40880.0;;Organic Whole Milk;26481.0;;Organic Raspberries;33863.0;;Organic Avocado;30889.0
47626;Large Lemon;fresh fruits;152657.0;produce;;Organic Fuji Apple;33943.0;;Organic Yellow Onion;24574.0;;Organic Avocado;23984.0;;Large Lemon;22808.0
16797;Strawberries;fresh fruits;142951.0;produce;;Cucumber Kirby;32097.0;;Apple Honeycrisp Organic;23696.0;;Organic Whole Milk;23813.0;;Organic Garlic;20996.0
26209;Limes;fresh fruits;140627.0;produce;;Limes;31772.0;;Organic Large Extra Fancy Fuji Apple;23364.0;;Organic Blueberries;23756.0;;Limes;20776.0
27845;Organic Whole Milk;milk;137905.0;dairy eggs;;Organic Whole Milk;31641.0;;Organic Avocado;22891.0;;Limes;18999.0;;Organic Zucchini;20415.0
;Organic Fuji Apple;;;;;;;;;;;;;;;
;Cucumber Kirby;;;;;name;count;;name;count;;name;count;;name;count
;Organic Whole Milk;;;;5;Organic Hass Avocado;213584.0;6;Organic Avocado;176815.0;7;Large Lemon;152657.0;8;Strawberries;142951.0
;Organic Raspberries;;;;;Bag of Organic Bananas;62341.0;;Banana;53395.0;;Banana;40880.0;;Banana;41232.0
;Organic Yellow Onion;;;;;Organic Strawberries;40794.0;;Organic Baby Spinach;30889.0;;Limes;27403.0;;Bag of Organic Bananas;17611.0
;Apple Honeycrisp Organic;;;;;Organic Baby Spinach;34901.0;;Large Lemon;24417.0;;Organic Avocado;24417.0;;Organic Baby Spinach;13751.0
;Organic Large Extra Fancy Fuji Apple;;;;;Banana;31222.0;;Organic Strawberries;23984.0;;Organic Baby Spinach;22808.0;;Organic Avocado;12746.0
;Organic Blueberries;;;;;Organic Raspberries;25793.0;;Bag of Organic Bananas;22891.0;;Bag of Organic Bananas;19407.0;;Raspberries;12106.0
;Organic Garlic;;;;;Organic Lemon;21246.0;;Limes;22010.0;;Organic Strawberries;16305.0;;Large Lemon;11393.0
;Organic Zucchini;;;;;Limes;20030.0;;Cucumber Kirby;15570.0;;Organic Garlic;15318.0;;Seedless Red Grapes;10045.0
;Organic Lemon;;;;;Organic Yellow Onion;19927.0;;Organic Garlic;13649.0;;Organic Hass Avocado;15005.0;;Organic Blueberries;9709.0
;Seedless Red Grapes;;;;;Organic Garlic;17697.0;;Organic Whole Milk;13071.0;;Cucumber Kirby;14457.0;;Blueberries;9002.0
;Blueberries;;;;;;;;;;;;;;;
;Organic Cilantro;;;;;name;count;;name;count;;;;;;
;Organic Whole String Cheese;;;;9;Limes;140627.0;10;Organic Whole Milk;137905.0;;;;;;
;;;;;;Banana;31772.0;;Banana;31641.0;;;;;;
;;;;;;Large Lemon;27403.0;;Bag of Organic Bananas;26481.0;;;;;;
;;;;;;Organic Avocado;22010.0;;Organic Strawberries;23813.0;;;;;;
;;;;;;Bag of Organic Bananas;20881.0;;Organic Baby Spinach;16944.0;;;;;;
;;;;;;Organic Baby Spinach;20776.0;;Organic Hass Avocado;14788.0;;;;;;
;;;;;;Organic Hass Avocado;20030.0;;Organic Avocado;13071.0;;;;;;
;;;;;;Organic Strawberries;18999.0;;Organic Raspberries;10353.0;;;;;;
;;;;;;Organic Cilantro;17565.0;;Large Lemon;9701.0;;;;;;
;;;;;;Organic Garlic;15946.0;;Organic Whole String Cheese;8769.0;;;;;;
