top;tage 0 (Montag);;tage 1 (Dienstag);;tage 2 (Mittwoch);;bottom;tage 4 (Freitag);;tage 3 (Donnerstag);;tage 6 (Sonntag);
;_id;count;_id;count;_id;count;;_id;count;_id;count;_id;count
;9;40798;8;34116;9;36314;;0;2642;0;2952;0;2642
;10;48465;9;51908;10;39230;;1;1512;1;1495;1;1512
;11;51035;10;55671;11;38128;;2;899;2;953;2;899
;12;51443;11;51584;12;35780;;3;686;3;654;3;686
;13;53849;12;47079;13;36650;;4;730;4;719;4;730
;14;54552;13;46728;14;37173;;5;1330;5;1355;5;1330
;15;53954;14;46764;15;37469;;6;4401;6;4562;6;4401
;16;49463;15;46403;16;37541;;;;;;;
;17;39753;16;44761;17;32151;;21;10796;21;10278;21;10796
;18;29572;17;36792;18;26470;;22;8812;22;8242;22;8812
;;;;;;;;23;5645;23;5181;23;5645
