;;;1;;;2;;;3;;;;;
id;name;count;id;name;count;id;name;count;id;name;count;1;2;3
13176;Bag of Organic Bananas;379450;13176;Bag of Organic Bananas;78988;13176;Bag of Organic Bananas;64337;13176;Bag of Organic Bananas;48972;20,81644485;16,95533008;12,90604823
16797;Strawberries;142951;16797;Strawberries;16366;16797;Strawberries;16969;16797;Strawberries;15659;11,44867822;11,87050108;10,95410315
21137;Organic Strawberries;264683;21137;Organic Strawberries;27975;21137;Organic Strawberries;29754;21137;Organic Strawberries;27809;10,56924699;11,24137175;10,50653045
21903;Organic Baby Spinach;241921;21903;Organic Baby Spinach;23543;21903;Organic Baby Spinach;25025;21903;Organic Baby Spinach;24297;9,73168927;10,34428594;10,04336126
24852;Banana;472565;24852;Banana;110916;24852;Banana;80432;24852;Banana;58577;23,47105689;17,02030409;12,39554347
26209;Limes;140627;27845;Organic Whole Milk;30927;27845;Organic Whole Milk;20888;27845;Organic Whole Milk;15617;21,99222056;14,85347764;11,10526428
27845;Organic Whole Milk;137905;27966;Organic Raspberries;14393;27966;Organic Raspberries;16236;27966;Organic Raspberries;14969;10,43689496;11,77332221;10,8545738
47209;Organic Hass Avocado;213584;47209;Organic Hass Avocado;24116;47209;Organic Hass Avocado;26517;47209;Organic Hass Avocado;24212;11,29110795;12,41525582;11,33605514
47626;Large Lemon;152657;47626;Large Lemon;12316;47626;Large Lemon;14233;47626;Large Lemon;14243;8,067759749;9,323516118;9,330066751
47766;Organic Avocado;176815;47766;Organic Avocado;22398;47766;Organic Avocado;23456;47766;Organic Avocado;20258;12,66747731;13,26584283;11,45717275
