aisle,count,department,id,name
fresh fruits,398609.0,produce,24852,Banana
fresh fruits,315913.0,produce,13176,Bag of Organic Bananas
fresh fruits,205845.0,produce,21137,Organic Strawberries
packaged vegetables fruits,186884.0,produce,21903,Organic Baby Spinach
fresh fruits,170131.0,produce,47209,Organic Hass Avocado
fresh fruits,134044.0,produce,47766,Organic Avocado
milk,114510.0,dairy eggs,27845,Organic Whole Milk
fresh fruits,106255.0,produce,47626,Large Lemon
packaged vegetables fruits,105409.0,produce,27966,Organic Raspberries
fresh fruits,99802.0,produce,16797,Strawberries
fresh fruits,95768.0,produce,26209,Limes
fresh vegetables,79072.0,produce,22935,Organic Yellow Onion
fresh vegetables,74663.0,produce,24964,Organic Garlic
fresh vegetables,72165.0,produce,45007,Organic Zucchini
fresh vegetables,67313.0,produce,49683,Cucumber Kirby
fresh fruits,63811.0,produce,28204,Organic Fuji Apple
packaged vegetables fruits,62922.0,produce,39275,Organic Blueberries
fresh fruits,62510.0,produce,8277,Apple Honeycrisp Organic
fresh fruits,60536.0,produce,5876,Organic Lemon
cream,59672.0,dairy eggs,49235,Organic Half & Half
water seltzer sparkling water,58513.0,beverages,44632,Sparkling Water Grapefruit
fresh fruits,57818.0,produce,45066,Honeycrisp Apple
fresh fruits,57201.0,produce,19057,Organic Large Extra Fancy Fuji Apple
fresh vegetables,56051.0,produce,30391,Organic Cucumber
packaged vegetables fruits,55230.0,produce,40706,Organic Grape Tomatoes
